survey_id,customer_id,nps_score,survey_date,plan_type,contract_type,segment,feedback_category,feedback_text
SV-03106,C-0010,1,2024-08-15,Enterprise,Monthly,detractor,Technical,"Honestly, the platform has failed us at every turn – call drops during client demos, the chat freezes, and the admin portal crashes whenever we try to add users. Critical tickets were opened but never got a proper resolution, leaving us scrambling during live calls. We paid for an enterprise solution, yet we’re still fighting basic functionality. It feels like we threw money away."
SV-00050,C-0011,3,2024-03-28,Starter,Monthly,detractor,Billing,"Billing statements never match the actual usage, making budgeting a nightmare."
SV-00049,C-0011,3,2024-09-29,Starter,Monthly,detractor,Billing,"We've been dealing with these billing mismatches since the first month, and nothing has improved. Each cycle we get charged for phantom lines, and the support tickets sit open far too long. The platform’s core features work, but the constant financial confusion erodes any goodwill. At this point we’re actively searching for a clearer alternative."
SV-04386,C-0012,9,2024-05-23,starter,Annual,promoter,General,"Wow, the call quality and video clarity have been rock solid, and even after weeks of not logging in I still recommend it to every partner."
SV-04385,C-0012,9,2024-09-02,starter,Annual,promoter,General,"After switching from our old system, we’ve been impressed by the seamless SIP trunking and crystal‑clear audio on every call. The support team resolved a minor billing hiccup quickly, so we feel confident staying on the annual plan."
SV-02009,C-0013,3,2024-10-21,Enterprise,Annual,detractor,Technical,"Unfortunately, despite our heavy call volume, we experienced frequent drops and the uptime reports never matched reality. The critical billing incident that led to an unexpected charge was never fully explained, and we decided to move to a different provider."
SV-00223,C-0014,3,2024-11-10,Starter,Monthly,detractor,Onboarding,"While the interface is clean, the onboarding process left us guessing how to set up call routing, and we never got past the basics. With only occasional logins, we haven’t seen the value we expected and are considering other options."
SV-01263,C-0015,9,2024-10-29,Professional,Annual,promoter,Technical,"Even with a one‑time payment failure, the platform’s reliability kept our support center running smoothly, and the video conferencing never lagged during client demos. The technical support responded within an hour, which reinforces our trust in the service."
SV-01264,C-0015,9,2024-02-29,Professional,Annual,promoter,General,"The team relies on the intelligent routing feature every day, automatically distributing over 200 calls per hour to the right agents. We’ve also integrated the messaging API with our CRM, which has cut response times in half. The occasional billing glitch was handled promptly, and the support engineers walked us through the fix step‑by‑step. Overall, the uptime has been 99.9% and we’ve seen a measurable boost in customer satisfaction scores."
SV-02403,C-0016,8,2024-09-04,Professional,Monthly,passive,Feature Request,"I appreciate how stable the video calls have been and the quick setup of our team chat channels. The billing process is straightforward, though it would be great to have more granular usage reports for each department. Our agents have adopted the call queue feature and report fewer hold times. If the platform could add a native screen‑sharing shortcut, it would make our internal meetings even smoother."
SV-02404,C-0016,7,2024-02-27,Professional,Monthly,passive,Feature Request,"Overall, the platform works well but I'd love a more intuitive reporting dashboard."
SV-03225,C-0017,2,2024-02-09,Starter,Annual,detractor,Billing,"Frustrated by the endless payment failures and the fact that our low‑usage team can’t even get basic call routing to work, we feel the product is a total waste of money. The promised integrations never materialized, and the support tickets about missing features sit unresolved for weeks. With critical billing alerts ignored, we’ve lost clients who couldn’t reach us. At this point we’re actively seeking a replacement that actually delivers on its promises."
SV-03224,C-0017,1,2024-10-21,Starter,Annual,detractor,Billing,"Honestly, the constant payment failures and broken integrations have crippled our operations and wasted our budget."
SV-01419,C-0018,4,2024-08-22,Starter,Monthly,detractor,Account,"Honestly, the platform keeps dropping calls and the recent four payment failures have been a nightmare, especially when we have a critical ticket still unresolved. Our team is frustrated and we’re seriously considering moving to a more reliable provider."
SV-01420,C-0018,4,2024-01-03,Starter,Monthly,detractor,Technical,"After months of intermittent call quality and a critical incident that never got a proper fix, we’re losing confidence. Coupled with the constant billing hiccups, we’re looking at terminating the contract soon."
SV-02205,C-0019,8,2024-04-27,Professional,Monthly,passive,Feature Request,"We appreciate the stable video conferencing, but the low adoption of the messaging features limits our collaboration. It would be great if the UI could highlight new chat threads more prominently."
SV-02204,C-0019,9,2024-12-02,Professional,Monthly,promoter,General,"I love how reliable the call routing is and the support team always responds quickly."
SV-01825,C-0020,9,2024-07-07,Starter,Annual,promoter,Technical,"Our agents use the routing feature daily and it has cut our average handling time by 15%. The integration with our CRM works flawlessly, and the video quality remains crystal clear even during peak hours. The onboarding was smooth, and the documentation helped us get up to speed fast. We did experience a single payment failure last month, but the billing team resolved it within a day. Overall, the platform feels like a solid partner for our contact center."
SV-00342,C-0021,7,2024-09-15,Starter,Monthly,passive,General,"Despite being a solid phone system, I’ve found it harder to stay updated with new features after being away from the dashboard for weeks. A concise monthly recap email would help keep our team aligned without forcing us to log in constantly."
SV-01643,C-0022,1,2024-12-14,Starter,Monthly,detractor,Technical,"This platform has been a waste of money – constant crashes and no resolution on the critical bugs."
SV-01644,C-0022,0,2024-04-14,Starter,Monthly,detractor,Account,"Absolutely unacceptable – the service has been down multiple times, and every support ticket feels ignored. Our agents can’t make outbound calls, which is costing us clients daily. The lack of transparency on outages and the broken escalation process make us feel trapped. We’re in the process of canceling and moving to a competitor that actually respects its customers."
SV-03828,C-0023,2,2024-07-16,Enterprise,Monthly,detractor,Billing,"Seriously, after logging over 150 hours a month, the billing errors are infuriating and the platform’s performance has slipped. The critical incident we reported last week still shows no sign of being fixed, and the constant downtime is hurting our SLA commitments. Our team can’t rely on the call quality, and the unresolved billing disputes are adding to the frustration. We’re evaluating alternatives that can handle our volume without these constant issues."
SV-02120,C-0024,8,2024-08-08,Professional,Monthly,passive,Feature Request,"The call quality remains excellent and the analytics dashboard gives us useful insights. It would be helpful, however, to have a customizable reporting template so we can align the data with our internal metrics more easily."
SV-02121,C-0024,7,2024-03-06,Professional,Monthly,passive,Feature Request,"While the core calling and video features work solidly, we still haven't figured out how to get the advanced routing rules set up without a consultant. A quick self‑service guide would save us a lot of time, especially since our team only logs in occasionally. Otherwise the reliability has been great."
SV-02431,C-0025,9,2024-06-09,Enterprise,Annual,promoter,General,"Honestly, our support center has become the backbone of our customer service, and the platform handles the call volume without a hitch. The video conferencing quality is crystal clear even when we have 30 participants, and the screen‑share works flawlessly. Our agents love the integrated messaging because they can pivot from a chat to a call instantly. The uptime has been 99.99% this year, which gives us confidence during peak sales periods. Kudos to the team for keeping the integration with our CRM seamless, and we’ll definitely recommend it to other enterprises."
SV-02430,C-0025,9,2024-11-13,Enterprise,Annual,promoter,Technical,"Our experience this year has been nothing short of impressive; the platform scales effortlessly as our call center grew by 20%. The call routing engine routes calls based on skill and availability without any noticeable lag, and the analytics dashboards give us real‑time insight into agent performance. Video meetings never drop, even when we run them on lower‑bandwidth connections, and the integrated chat keeps internal communication smooth. We also appreciate the quarterly product webinars that showcase new features we can adopt right away. Keep up the great work!"
SV-00569,C-0026,8,2024-08-29,Professional,Monthly,passive,General,"The call quality remains crystal clear and our agents have praised the new voicemail‑to‑email feature."
SV-03945,C-0027,8,2024-11-17,professional,Monthly,passive,Technical,"Even though we spend most of our day on the platform, the occasional technical hiccup still drags us down. Our team relies heavily on the video conference and call routing features, and they work well most of the time, but the recent glitches with screen sharing caused a few client calls to be delayed. Support tickets have been slow to close, with about a fifth still open, which is frustrating when we need a quick fix. On the bright side, the call quality and uptime have been solid, and the integration with our ticketing system saves us manual effort. A more responsive support queue would make the experience truly seamless."
SV-01468,C-0028,6,2024-09-30,Professional,Annual,detractor,Billing,"One thing that keeps us from giving a higher score is the recurring payment failure we experienced last month, which temporarily halted our service. Although the technical issues have been resolved, the billing glitch required multiple calls to support, and the ticket took longer than expected to close. We appreciate the platform’s reliability otherwise, but the billing friction feels like a wasted investment."
SV-01469,C-0028,8,2024-06-13,Professional,Annual,passive,Billing,"Now that the recent payment hiccup has been fixed, the platform feels much smoother to use. The call routing and team messaging are still top‑notch, and our agents have adopted the new features quickly. It would be great if the billing alerts were more proactive, so we don’t have to chase them down again."
SV-03547,C-0029,7,2024-09-29,Starter,Monthly,passive,Technical,"Overall, the system works for our small team, but the occasional high‑priority alerts feel a bit noisy."
SV-01883,C-0030,2,2024-09-19,Professional,Monthly,detractor,Onboarding,"Enough is enough—two payment failures and a botched onboarding forced us to pull the plug and look elsewhere."
SV-03430,C-0031,3,2024-09-06,Starter,Annual,detractor,Billing,"Seriously, after the payment failure and months of no login activity, we decided the service just isn’t worth the hassle. The platform never lived up to the promises during onboarding, and we’ve already cancelled our contract. I wouldn’t recommend this to any small business."
SV-02698,C-0032,2,2024-06-03,Enterprise,Monthly,detractor,Account,"After months of dropping calls and endless outages, we finally decided to pull the plug. The critical incident last quarter left our call center blind for hours, and the support team never resolved the root cause. We’ve been paying for an Enterprise plan that can’t even guarantee basic uptime. It feels like a massive waste of budget, and we’re already in the process of moving to a competitor. Honestly, I wish we’d never signed up."
SV-02697,C-0032,2,2024-12-25,Enterprise,Monthly,detractor,Technical,"We’re done – the platform crashes daily and the promised SLA is a joke."
SV-02248,C-0033,8,2024-07-22,Professional,Monthly,passive,Feature Request,"Our agents love the video conferencing quality, but the billing portal still forces us to jump through hoops for a simple invoice correction. A more intuitive payment history view would save us time. Overall, the service meets our needs and we’ll keep using it."
SV-04087,C-0034,4,2024-10-04,Professional,Monthly,detractor,Technical,"The call routing often misdirects inbound leads, and after being inactive for weeks I finally logged in to see a flood of unresolved tickets. The critical priority alerts never triggered, so we missed a major sales opportunity. I’m considering switching because the platform isn’t living up to the promised reliability."
SV-00584,C-0035,9,2024-09-23,Enterprise,Annual,promoter,General,"I’m consistently impressed by how crystal‑clear the video calls are, even when our team joins from different continents. Our agents use the routing feature daily and have seen a 15 % drop in average handling time thanks to the smart queue logic. The integration with our CRM works seamlessly, pulling call logs without any manual steps. Support responses are quick and knowledgeable, which makes scaling our contact center painless. All in all, it feels like a partnership that actually drives our business forward."
SV-00585,C-0035,10,2024-05-14,Enterprise,Annual,promoter,General,"Simply the best unified communications suite we’ve ever used – flawless."
SV-03373,C-0036,7,2024-07-23,Professional,Monthly,passive,Feature Request,"While the call quality is solid and our team relies on the chat for quick collaborations, I’d love to see more robust reporting on agent performance. The current dashboards are a bit too generic for our needs. Otherwise, the platform feels stable and we’re happy with it."
SV-01751,C-0037,3,2024-07-06,professional,Annual,detractor,Billing,"Despite being on an annual contract, we’ve hit two payment failures that still haven’t been cleared, and each time the billing team takes days to respond. The platform itself works well, but the constant invoicing hiccups are draining our patience. Our agents are active users, yet the login inactivity warning makes us worry we’ll miss critical updates. I need a smoother billing experience or we’ll have to reconsider our subscription. It’s hard to stay enthusiastic when the finance side feels so broken."
SV-01752,C-0037,1,2024-03-10,professional,Annual,detractor,Billing,"This service has turned into a nightmare – two payment failures in a row and now my account is locked, even though I’ve been using the platform heavily for client calls. The promised reliability is a lie; we lost several deals because the video froze during demos. Support hasn’t offered any real solution, just generic apologies, and I feel the entire investment was wasted. I’m actively looking for alternatives and will terminate the contract as soon as possible. It’s unacceptable for an enterprise‑grade product."
SV-01530,C-0038,7,2024-04-08,Professional,Annual,passive,Technical,"Although our team logs many hours on calls, the billing errors keep popping up, and the technical tickets we raised often sit unresolved for weeks. A more proactive approach to fixing those glitches would make a big difference. The core communication features are solid, and we appreciate the reliability when it works."
SV-01529,C-0038,6,2024-11-06,Professional,Annual,detractor,Billing,"We've been dealing with repeated payment failures—four times now—so each month we have to chase the billing team. On top of that, some of the technical glitches we reported still linger, which makes the platform feel unreliable."
SV-00814,C-0039,1,2024-11-10,Professional,Monthly,detractor,Technical,"Absolutely fed up—constant crashes and a broken call routing system have forced us to switch providers."
SV-03594,C-0040,6,2024-10-22,Starter,Annual,detractor,Onboarding,"The onboarding process felt half‑baked; we were handed a generic guide that barely covered the basics of setting up our phone numbers. When we reached out for help, the response was slow and the instructions were still vague. Call quality is decent, but we keep hitting random drops during conference calls. Integration with our CRM still isn’t smooth, and we haven’t seen any improvement despite the time we’ve invested. Overall, the platform works, but it never lived up to the promises made during the demo."
SV-03595,C-0040,7,2024-02-24,Starter,Annual,passive,Feature Request,"Overall the service meets our needs, but it would be great to have a native voicemail transcription feature directly in the app. Right now we have to export recordings to a third‑party tool, which adds extra steps."
SV-01747,C-0041,3,2024-08-31,Professional,Monthly,detractor,Billing,"I’m disappointed that our monthly invoices keep showing unexpected overage fees despite staying within the agreed limits. The billing portal is confusing, and the support team hasn’t been able to clarify the charges, so we’re considering other options."
SV-01748,C-0041,2,2024-02-16,Professional,Monthly,detractor,Billing,"This endless cycle of billing errors and ignored tickets makes us feel like we’re wasting money."
SV-02579,C-0042,3,2024-10-03,professional,Monthly,detractor,Technical,"Our team spends a lot of time on the phone system, yet we still can’t get the call routing rules to stick, leading to dropped calls during peak hours. The UI is unintuitive, so we’ve only managed to adopt a fraction of the features, and every time we try to enable a new module, the system throws an error. Support tickets have been answered, but the fixes never resolve the core problem, which is frustrating given the critical nature of our operations. We’re seriously evaluating alternatives because the platform isn’t delivering the reliability we need."
SV-01739,C-0043,7,2024-09-10,Enterprise,Monthly,passive,Feature Request,"While the platform works well for our call center agents, adding a real‑time analytics dashboard would help us monitor performance on the fly. Right now we have to pull reports manually, which slows down decision making."
SV-01740,C-0043,7,2024-02-04,Enterprise,Monthly,passive,General,"Feedback we’ve been pleased with call quality and the ease of setting up video meetings, though a more robust mobile app would be a welcome upgrade. The current app sometimes lags when switching between chats and calls."
SV-00253,C-0044,8,2024-04-14,Professional,Monthly,passive,General,"Honestly, the platform has become an essential part of our daily workflow; our agents rely on the seamless call routing and crystal‑clear video conferencing for client interactions. The integration with our CRM works flawlessly, and the technical support has resolved every issue we’ve raised promptly. We especially appreciate the high‑quality audio that never drops, even during long conference calls. The only thing we’d love to see is a customizable reporting module that lets us build dashboards without exporting data. Overall, we’re very satisfied and would gladly recommend it to other businesses."
SV-00252,C-0044,7,2024-08-03,Professional,Monthly,passive,Feature Request,"Overall the platform meets our day‑to‑day communication needs, and the call quality has been solid. It would be great to have more customizable dashboards so we can track agent performance without exporting data."
SV-03179,C-0045,4,2024-02-24,Professional,Monthly,detractor,Billing,"Honestly the unexpected invoicing spikes and the lack of a clear refund process made us decide to move to another provider."
SV-03178,C-0045,3,2024-11-16,Professional,Monthly,detractor,Billing,"After months of paying for the Professional plan, we still see the same billing inconsistencies that were never fully resolved. The extra charges appeared after each month‑end, and when we escalated, the support team took over a week to respond without a concrete answer. Our finance department had to spend extra hours reconciling the statements, which felt like a waste of resources. The critical outage last quarter, combined with these billing errors, broke our confidence in the service. We have already terminated the contract and are looking for a more transparent vendor."
SV-03726,C-0046,6,2024-08-26,Enterprise,Monthly,detractor,Onboarding,"Despite the heavy usage, the onboarding never showed us how to enable the advanced routing features, so we’re stuck with basic call handling."
SV-03880,C-0047,8,2024-02-02,Professional,Monthly,passive,General,"We have been using the platform for over two years, and our agents rely on the video conferencing and call routing every day. The uptime has been impressive, and the integration with our CRM saves us a lot of manual entry. Our support tickets are rare, and when they do arise the technical team resolves them quickly. One suggestion would be to add a real‑time analytics view for call queues, which would help us fine‑tune staffing. Overall, the service feels reliable and adds clear value to our operations."
SV-03879,C-0047,6,2024-07-21,Professional,Monthly,detractor,Feature Request,"Our team uses the messaging and video tools heavily, but the recent UI changes have slowed us down. It would help to have a way to pin frequently used contacts for quicker access."
SV-01278,C-0048,2,2024-02-06,Professional,Monthly,detractor,Billing,"Billing errors have completely derailed our operations, and I’m fed up with the constant overcharges on our monthly invoice. The platform kept charging us for features we never enabled, and the support team left the tickets open for weeks without any resolution. Our finance crew had to chase down refunds, which cost us valuable time and strained our budget. The lack of a stable call quality during peak hours only added to the frustration, making the service unreliable for our clients. We have already cancelled the contract and are moving to a competitor that respects accurate billing."
SV-01277,C-0048,1,2024-09-29,Professional,Monthly,detractor,Technical,"Support ignored our repeated requests for a proper call recording feature, so we had to abandon the platform entirely."
SV-00702,C-0049,3,2024-06-05,Starter,Annual,detractor,Technical,"The three payment failures triggered a lock on our account, and the technical support response was sluggish and generic. We were forced to switch to a backup system during that downtime, which disrupted our call center operations."
SV-00701,C-0049,1,2024-07-01,Starter,Annual,detractor,Billing,"I am sick of the endless payment failures and the zero‑response billing team—this is why we walked away."
SV-02880,C-0050,9,2024-07-26,enterprise,Annual,promoter,General,"We've been using the platform for over two years, and our agents rely on the routing feature daily to handle inbound calls. Call quality is consistently crystal‑clear, and the video meetings never drop, which keeps our clients happy. The integration with our CRM feels seamless, and the analytics dashboards give us real insight into team performance. If anything, a more granular permission system would be nice, but overall it's exactly what we need for an enterprise operation."
SV-01709,C-0051,3,2024-10-06,Starter,Monthly,detractor,Account,"I'm done – the service never delivered what we paid for and I've already moved to a competitor."
SV-03564,C-0052,8,2024-11-08,Professional,Annual,passive,Billing,"Overall the platform feels solid, but the occasional payment hiccup threw us off schedule. Our team still uses the messaging and video tools heavily, yet the missed invoice notice made the admin team nervous. A smoother billing reminder would go a long way."
SV-01000,C-0053,3,2024-07-30,Starter,Monthly,detractor,Billing,"What a disappointment – after months of trying to get the call routing to work, we kept hitting dead ends and the support team never resolved the core issue. On top of that, two failed payments left our account on hold, causing us to lose a key client call. The technical glitches combined with the billing snafu feel like a wasted investment. I'm officially cancelling and moving to a more reliable provider."
SV-02078,C-0054,3,2024-03-03,Starter,Annual,detractor,Technical,"The system keeps dropping calls during peak hours, and the audio quality is often garbled. Adding to the frustration, a payment failure interrupted our service just when we needed it most. I'm looking at alternatives because this can’t continue."
SV-02077,C-0054,1,2024-11-11,Starter,Annual,detractor,Technical,"This is the worst experience we’ve had with any communications tool. Every time we try to set up a conference, the video freezes and the audio cuts out, making meetings impossible. On top of the technical chaos, the billing error from last month was never corrected, and the support tickets sit unresolved. After two surveys, my patience has run out and I'm ready to pull the plug."
SV-01342,C-0055,5,2024-08-17,professional,Annual,detractor,Billing,"Billing issues are a pain; we keep getting over‑charged and the support team never follows up."
SV-02569,C-0056,4,2024-08-08,starter,Monthly,detractor,Onboarding,"We never got past the initial setup because the onboarding docs were vague and the tutorial videos skipped key steps. As a result, our team barely uses the phone system, and we're stuck with a product that doesn't add value."
SV-02570,C-0056,2,2024-02-14,starter,Monthly,detractor,General,"Honestly I'm ready to pull the plug after another month of the same broken promises. The platform logs me out after a few days, so I can't keep up with updates, and the constant billing glitches make it feel like a money sink. Support tickets remain unanswered, and the critical incident we faced last quarter still haunts us. I've already started the cancellation process and will not be renewing."
SV-03465,C-0057,3,2024-08-18,Enterprise,Annual,detractor,Billing,"Even with heavy usage, the service feels flaky – call quality drops and the integration with our ticketing system never syncs. Billing has been a nightmare with unexpected fees, and despite the critical tickets we raised, nothing changed. We've decided to move on."
SV-03253,C-0058,2,2024-12-18,Starter,Monthly,detractor,Technical,"Honestly the call drops are killing our sales pipeline and I’m done paying for a system that can’t stay up."
SV-02824,C-0058,1,2024-02-07,Starter,Monthly,detractor,Billing,"Frankly the three failed payments and constant error messages have forced us to look for a new provider."
SV-03254,C-0059,3,2024-03-10,Professional,Monthly,detractor,Technical,"Our experience with the platform has been a nightmare – the video freezes mid‑meeting and the support team never gets back in time. We’ve already started the cancellation process because we can’t afford another lost client."
SV-03058,C-0059,2,2024-07-20,Professional,Monthly,detractor,Technical,"The call routing feature rarely works, so callers are hung up on before reaching an agent. It’s frustrating and we’re considering switching to a service with reliable routing."
SV-03906,C-0060,3,2024-10-06,Starter,Annual,detractor,Technical,"I haven’t logged in for weeks because the dashboard is glitchy and the phone quality is terrible. The recent critical outage made us lose confidence, and we might move to a more stable solution."
SV-03949,C-0061,4,2024-05-04,Starter,Monthly,detractor,Billing,"We’ve been hit with unexpected overcharges on our monthly bill despite using only the basic plan. The billing team’s slow responses have left us questioning whether to stay."
SV-01631,C-0061,2,2024-12-26,Starter,Monthly,detractor,Billing,"After months of trying to get our agents to use the call center features, we still only see 20% adoption. The monthly invoices keep including charges for premium integrations we never activated, and the billing team has been slow to correct them. Our heavy call volume means any downtime costs us real revenue, yet we’ve experienced several brief outages. Support tickets have been resolved, but the root cause never changed, so we’re evaluating alternatives."
SV-01630,C-0062,0,2024-04-02,Starter,Annual,detractor,Billing,"This platform promised seamless call handling for our support center, but the reality is constant billing errors and missing call records. Every month we’re billed for extra seats we never use, and the finance team spends hours disputing the invoices. The call quality is spotty, with echo and drop‑outs that interrupt customer conversations. Despite opening tickets, the issues persist, and we’re preparing to terminate the contract."
SV-03905,C-0062,0,2024-07-26,Starter,Annual,detractor,Technical,"Nothing about this service works the way it should – the UI is unresponsive, and after a critical outage we lost several hours of live chat. Our team barely logs in because the platform feels broken, and the technical support never follows up on the unresolved tickets. The promised uptime of 99.9% is a lie, and we’ve already started the migration to a competitor."
SV-02823,C-0063,3,2024-09-15,Starter,Annual,detractor,Billing,"Every time we try to make a payment the system throws an error, and the unresolved technical tickets keep piling up. We’ve been stuck with a broken phone system for months, missing calls and losing clients. The critical incidents were never addressed, and the support team’s lack of response forced us to look for a replacement. Our contract is up for renewal, and we have no intention of staying."
SV-03950,C-0063,2,2024-02-22,Starter,Annual,detractor,Billing,"Honestly, the constant billing errors and the one‑time critical outage made us lose clients and forced us to cancel the service."
SV_C-0064_1,C-0064,8,2024-10-30,Enterprise,Annual,passive,General,"Overall the system works great for our call center, and the video quality is consistently clear. Our agents use the routing feature daily, but it would be nice to have a quick‑switch option for switching between team chat and video without leaving the main dashboard."
SV_C-0064_2,C-0064,9,2024-12-18,Enterprise,Annual,promoter,General,"I’m impressed by how reliable the call quality remains even during peak hours, and the integration with our CRM updates tickets automatically. The team messaging feels instant, and the video conferencing never drops, which has boosted our client satisfaction scores. Support has responded quickly whenever we’ve had a question, and the documentation is thorough. Keep up the great work – we’ll definitely recommend this platform to our partners."
SV-04022,C-0065,3,2024-05-18,starter,Annual,detractor,Billing,"We’ve struggled with repeated payment failures that kept our account on hold, and the onboarding never really showed us how to use the messaging features. Until those issues are fixed, we’re considering moving to a competitor."
SV-04021,C-0065,1,2024-07-11,starter,Annual,detractor,Billing,"Terrible experience – two payment failures and a half‑finished onboarding left us feeling we wasted a year’s investment."
SV-02874,C-0066,2,2024-11-04,Professional,Monthly,detractor,Technical,"After the platform suffered a critical outage last month, our call center was down for hours and we missed several high‑value leads. The technical support team took days to respond, and the resolution was only a temporary fix. We also notice frequent audio glitches during video calls that disrupt meetings. Combined with the lack of clear communication about the incident, we’re forced to evaluate other solutions."
SV-02875,C-0066,1,2024-03-29,Professional,Monthly,detractor,Technical,"Disappointed that the platform crashed during a live support call, causing us to lose a major sale and prompting us to look elsewhere."
SV-03231,C-0067,6,2024-05-07,Starter,Annual,detractor,Onboarding,"The onboarding process felt rushed and never covered the call routing rules we needed for our support team. A more thorough walkthrough would make the platform much more usable."
SV-03230,C-0067,6,2024-11-29,Starter,Annual,detractor,Feature Request,"While the core calling features work as advertised, we’ve been waiting for a native integration with our project management tool for months. The lack of this integration forces our team to manually copy contact details, which is time‑consuming and error‑prone. Additionally, the reporting dashboard doesn’t provide real‑time agent activity metrics we need for staffing decisions. If these gaps are addressed, the platform would feel far more complete for our operations."
SV-04389,C-0068,8,2024-09-25,Professional,Monthly,passive,General,"Our agents rely on the heavy‑use video rooms and they’ve been stable, but the UI feels a bit clunky when opening new meetings. A cleaner interface would speed up our workflow."
SV-01898,C-0069,9,2024-12-19,Enterprise,Monthly,promoter,General,"Honestly, the call quality and video stability have been rock solid, and our agents use the routing feature daily, so we can’t imagine working without it."
SV-01899,C-0069,7,2024-04-16,Enterprise,Monthly,passive,Feature Request,"Overall, the platform still does the job, but it feels like we’ve lost some polish since last year. The routing rules are still powerful, yet the recent UI glitches slow our team down, especially after the billing hiccup we experienced."
SV-03811,C-0070,8,2024-10-05,Professional,Monthly,passive,Technical,"While the video conferencing works when we use it, the lack of recent updates makes it feel stale, and the critical outage last month left us scrambling. I’d love to see better mobile push notifications to stay engaged."
SV-03812,C-0070,7,2024-02-10,Professional,Monthly,passive,Feature Request,"Our team still finds the messaging reliable, but the login delays have become a nuisance, especially after that critical incident. A smoother single sign‑on would help us get back to work faster."
SV-01958,C-0071,3,2024-07-06,starter,Monthly,detractor,Technical,"After the call drop during a major client demo, I’m left questioning the platform’s reliability. The support team’s slow response only added to the frustration, and I’m considering alternatives."
